percentage_met_herkomstland_buiten_europa_tercile,mean_distance,median_distance,std_distance,mean_pct_500m,n_buurten,n_observations,variable,tercile_label,personenautos_per_huishouden_tercile,gemiddeld_inkomen_per_inwoner_tercile,gemiddelde_woz_waarde_tercile
1.0,2093.8534401425377,1953.2568986805172,1561.7668216097493,21.37073603872373,62,62,percentage_met_herkomstland_buiten_europa,Low migration,,,
2.0,1779.6888129119866,1492.9788134001672,1582.5805132558185,32.83904269289332,50,50,percentage_met_herkomstland_buiten_europa,Medium migration,,,
3.0,1865.1299440670684,1548.2935304518983,1474.5385427061585,25.970281126364874,56,56,percentage_met_herkomstland_buiten_europa,High migration,,,
,1042.5197993139316,557.4375451052227,1080.4283710985871,48.251847044857975,55,55,personenautos_per_huishouden,Low car ownership,1.0,,
,1590.1927400993877,1552.8363895858502,1193.6756996285883,25.663235493376202,59,59,personenautos_per_huishouden,Medium car ownership,2.0,,
,3231.612909345575,3359.087949175301,1492.023377218393,4.592749746931093,49,49,personenautos_per_huishouden,High car ownership,3.0,,
,1600.637695227004,1399.6920394673457,1140.456336326455,21.431439621055723,35,35,gemiddeld_inkomen_per_inwoner,Low income,,1.0,
,1518.1172960709475,474.7455410376974,1763.9241435063227,49.76556570427033,32,32,gemiddeld_inkomen_per_inwoner,Medium income,,2.0,
,1088.4902274448605,374.64854004018355,1338.4567360378371,55.498379090236654,34,34,gemiddeld_inkomen_per_inwoner,High income,,3.0,
,1506.978550286378,1118.0774982260434,1129.4558590081194,24.174177433457235,34,34,gemiddelde_woz_waarde,Low WOZ,,,1.0
,1290.141570339189,424.31858892216826,1466.3725653894826,51.488578649767646,35,35,gemiddelde_woz_waarde,Medium WOZ,,,2.0
,1471.3682469308244,592.0539159071898,1668.113865887653,47.221208613595095,34,34,gemiddelde_woz_waarde,High WOZ,,,3.0
