buurt_idx,n_houses,total_addresses,mean_distance,pct_within_100m,pct_within_250m,pct_within_500m,date,hour
0,0,0,,,,,2023-04-07,0
1,1,1,4880.57380386526,0.0,0.0,0.0,2023-04-07,0
2,0,0,,,,,2023-04-07,0
3,2265,4088,171.23036242871441,29.207436399217222,78.18003913894324,98.40998043052838,2023-04-07,0
4,316,662,593.5433737035164,4.531722054380665,29.003021148036257,37.160120845921455,2023-04-07,0
5,478,676,796.4244039515773,0.0,0.0,0.0,2023-04-07,0
6,551,774,141.0059158009912,25.839793281653744,94.18604651162791,100.0,2023-04-07,0
7,604,1293,361.1531499332421,0.23201856148491878,30.781129156999228,79.7370456303171,2023-04-07,0
8,820,1803,212.68384877221146,14.198557958957295,69.21797004991681,99.38990571270105,2023-04-07,0
9,1293,1758,504.4290402695833,2.502844141069397,10.466439135381114,44.027303754266214,2023-04-07,0
10,698,1136,232.85052777330412,17.077464788732392,46.12676056338028,100.0,2023-04-07,0
11,856,1084,121.68293335888444,42.80442804428044,95.66420664206642,100.0,2023-04-07,0
12,2030,3678,294.12604099184915,7.0690592713431215,49.700924415443176,86.7862969004894,2023-04-07,0
13,302,455,465.9380804650533,0.0,0.0,55.604395604395606,2023-04-07,0
14,1033,1764,277.2191765234466,8.560090702947845,35.430839002267575,100.0,2023-04-07,0
15,1810,2948,178.6348337769325,12.720488466757123,82.80189959294437,100.0,2023-04-07,0
16,1846,3146,112.76398210044485,42.180546726001275,98.34710743801654,100.0,2023-04-07,0
17,1167,2213,296.8936827382037,5.151378219611387,34.387708992318125,96.20424762765477,2023-04-07,0
18,593,940,168.46570876930676,8.51063829787234,90.53191489361701,100.0,2023-04-07,0
19,1646,2719,699.4235865582317,0.0,0.0,21.77271055535123,2023-04-07,0
20,3441,5180,183.06423614389328,13.648648648648647,79.72972972972973,100.0,2023-04-07,0
21,1224,2289,230.37133500516612,8.781127129750983,60.0698995194408,100.0,2023-04-07,0
22,254,407,188.27142196881536,9.336609336609335,90.66339066339066,95.33169533169533,2023-04-07,0
23,785,1634,207.43552653099886,11.872705018359852,66.52386780905752,100.0,2023-04-07,0
24,1765,3033,219.09312017247365,6.297395318166831,62.809099901088025,100.0,2023-04-07,0
25,653,1107,1059.8046997169918,0.0,0.0,0.0,2023-04-07,0
26,1323,3207,415.2760686103946,4.334268787028376,30.68288119738073,62.89367009666355,2023-04-07,0
27,1521,3433,139.094631729303,43.19836877366735,87.70754442178853,100.0,2023-04-07,0
28,1773,2076,839.5168814981481,1.1560693641618496,9.007707129094413,35.934489402697494,2023-04-07,0
29,100,210,1628.3703055485219,0.0,0.0,0.0,2023-04-07,0
30,1031,2968,2400.1794637456096,0.0,0.0,0.0,2023-04-07,0
31,550,550,3439.72494014572,0.0,0.0,0.0,2023-04-07,0
32,655,1002,2897.485355477744,0.0,0.0,0.0,2023-04-07,0
33,2374,3319,3368.2234906504477,0.0,0.0,0.0,2023-04-07,0
34,157,201,1953.654226979597,0.0,0.0,0.0,2023-04-07,0
35,3724,5534,1735.225378231372,0.0,0.0,0.0,2023-04-07,0
36,1596,2997,2756.3204845416553,0.0,0.0,0.0,2023-04-07,0
37,346,1194,2834.1356239343363,0.0,0.0,0.0,2023-04-07,0
38,2317,3640,2251.4228203379685,0.0,0.0,0.0,2023-04-07,0
39,844,1995,1491.850812469555,0.0,0.0,0.0,2023-04-07,0
40,401,1166,2114.7008227803017,0.0,0.0,0.0,2023-04-07,0
41,687,2180,2901.0443619294288,0.0,0.0,0.0,2023-04-07,0
42,2008,3202,1007.2692547889376,0.0,0.0,4.80949406620862,2023-04-07,0
43,643,1314,1066.7055054055484,0.0,0.0,0.0,2023-04-07,0
44,1650,3794,203.00816443337027,16.051660516605164,68.55561412756984,99.78914074855034,2023-04-07,0
45,3476,6025,120.89326387308304,40.84647302904564,98.47302904564316,100.0,2023-04-07,0
46,2039,3491,211.45349828816276,14.437124033228303,62.933256946433694,100.0,2023-04-07,0
47,2382,4047,148.95602542337235,23.99308129478626,95.30516431924883,100.0,2023-04-07,0
48,3976,7160,250.19839548472368,6.620111731843576,52.52793296089385,99.4972067039106,2023-04-07,0
49,676,1187,130.01566098735356,34.28812131423757,91.82813816343723,100.0,2023-04-07,0
50,135,420,245.88651179271747,44.761904761904766,59.04761904761905,83.33333333333334,2023-04-07,0
51,853,2982,1677.2346649957067,0.0,0.0,0.0,2023-04-07,0
52,538,1590,508.0846768420314,0.0,0.12578616352201258,44.27672955974843,2023-04-07,0
53,285,377,1717.2199504484377,0.0,0.0,0.5305039787798408,2023-04-07,0
54,1292,3880,1037.7043031537373,0.0,0.0,0.0,2023-04-07,0
55,1020,3067,152.34237138407224,30.551027062275836,89.72937724160417,100.0,2023-04-07,0
56,1406,2495,102.47719783901564,55.67134268537074,99.59919839679358,100.0,2023-04-07,0
57,2196,5249,102.29826347295682,46.65650600114307,100.0,100.0,2023-04-07,0
58,2027,4649,161.94589429829614,35.06130350613035,81.93159819315981,100.0,2023-04-07,0
59,314,576,190.93462385122456,19.96527777777778,68.40277777777779,100.0,2023-04-07,0
60,1030,1918,147.0075735443934,28.832116788321166,86.75703858185611,100.0,2023-04-07,0
61,2298,4746,200.6143216110321,22.966708807416772,62.51580278128951,100.0,2023-04-07,0
62,1313,1907,124.89537586098731,32.406921866806506,97.01101206082853,100.0,2023-04-07,0
63,1146,2455,107.5550012549949,40.407331975560076,100.0,100.0,2023-04-07,0
64,2284,4458,134.36031350349947,42.664872139973085,88.82907133243607,100.0,2023-04-07,0
65,3004,6050,329.1268738674852,7.190082644628099,38.099173553719005,83.900826446281,2023-04-07,0
66,2169,4253,377.8061211427473,2.4218198918410536,19.06889254643781,80.81354338114272,2023-04-07,0
67,1225,2632,651.0597488113525,0.0,0.1519756838905775,24.772036474164132,2023-04-07,0
68,921,1801,410.6207838929676,0.0,6.385341476957246,82.12104386451972,2023-04-07,0
69,1057,1853,390.0184689277585,4.155423637344846,11.76470588235294,78.68321640582838,2023-04-07,0
70,1369,2573,482.2067260540762,1.2436844150796735,9.366498251068792,46.94908666925768,2023-04-07,0
