buurt_idx,mean_distance,std_distance,mean_pct_100m,mean_pct_250m,mean_pct_500m,total_addresses,n_observations,percentage_met_herkomstland_buiten_europa,personenautos_per_huishouden,bevolkingsdichtheid_inwoners_per_km2,percentage_koopwoningen,buurtcode,gemiddeld_inkomen_per_inwoner,gemiddeld_inkomen_per_ontvanger,gemiddelde_woz_waarde,pct_huishoudens_laag_inkomen,pct_personen_laagste_40,pct_personen_hoogste_20,buurtnaam
0,,,,,,0,0,,,,,BU05189998,,,,,,,Buitenwater
1,1660.2234668164542,1324.01344403566,0.0,0.0,32.926181625066384,1,1883,,,21.0,,BU05031600,,,,,,,De Bras
2,,,,,,0,0,,,,,BU05180170,,,,,,,Oostduinen
3,186.42552114341265,24.766525167324193,21.61823837341628,79.08355530428294,97.08814472471272,4088,1883,22.0,0.7,7900.0,,BU05180271,42.4,52.6,503.0,3.9,38.0,32.0,Belgisch Park
4,299.32569901235064,145.01803993657214,6.780415644508906,58.93043658236439,83.4314176933703,662,1883,21.0,0.9,2644.0,,BU05180373,65.5,80.1,712.0,4.1,34.7,38.4,Westbroekpark
5,667.5158169697679,127.69268284287975,1.5350677346673915,16.69680762474586,22.857975596036795,676,1883,22.0,1.1,1006.0,,BU05180374,63.3,82.1,720.0,2.2,31.5,40.2,Duttendel
6,222.96580749533655,48.12731916806119,9.511390504733637,62.87907168861608,99.39373230632849,774,1883,24.0,0.9,5779.0,,BU05180448,67.3,88.9,776.0,4.5,26.8,49.6,Nassaubuurt
7,472.2461681640727,153.5825010779068,2.728651643167035,20.623529861146192,56.48717572746588,1293,1883,28.0,0.8,7935.0,,BU05180475,51.0,64.2,491.0,3.5,25.9,43.7,Uilennest
8,327.6049047360123,277.31614344522023,12.388539900307771,51.441024857078645,85.41856096922312,1803,1883,24.0,0.9,3767.0,,BU05180476,54.2,63.1,524.0,3.4,26.3,42.4,Duinzigt
9,415.34512196606494,102.32860587342142,4.863949462196033,17.89999377702538,70.53352038507525,1758,1883,22.0,0.9,6378.0,,BU05180477,57.1,78.2,776.0,3.7,27.3,51.8,Waalsdorp
10,340.99063834732243,83.50308969030168,10.641263940520446,28.592839565272676,80.14607159686746,1136,1883,29.0,0.9,3500.0,,BU05180478,57.5,76.4,520.0,9.9,28.2,50.2,Arendsdorp
11,226.7595603980802,135.71379333710667,20.499252390293417,66.68992128051923,93.90668694259965,1084,1883,22.0,0.8,9551.0,,BU05180479,56.1,74.7,671.0,3.3,25.4,52.5,Van Hoytemastraat e.o.
12,251.05656942557704,55.067674330732835,11.186333633376332,52.227552148715056,96.4786820748421,3678,1883,26.0,0.7,7309.0,,BU05180546,59.6,72.5,639.0,5.1,32.7,37.5,Archipelbuurt
13,259.8431362369535,105.45063961151669,13.408344178391973,53.83296469860464,92.92851598746446,455,1883,25.0,1.0,746.0,,BU05180605,68.0,87.0,920.0,4.5,30.9,43.0,Van Stolkpark en Scheveningse Bosjes
14,185.80046207429493,63.077366870502445,17.989096860199204,77.2037492639116,98.68732410648806,1764,1883,16.0,0.6,10016.0,,BU05180701,33.3,40.2,331.0,5.7,41.4,20.8,Oud Scheveningen
15,179.0666082177898,47.53064051937263,20.79979333766162,82.56012699501575,99.14733770917536,2948,1883,18.0,0.8,5556.0,,BU05180702,36.6,44.8,372.0,3.4,38.5,24.6,Vissershaven
