percentage_met_herkomstland_buiten_europa_tercile,mean_distance,median_distance,std_distance,mean_pct_500m,n_buurten,n_observations,variable,tercile_label,personenautos_per_huishouden_tercile,gemiddeld_inkomen_per_inwoner_tercile,gemiddelde_woz_waarde_tercile
1.0,683.5368525480033,479.44392813746657,628.1708188933486,55.89115320174165,62,62,percentage_met_herkomstland_buiten_europa,Low migration,,,
2.0,659.2129414234678,361.8951461156047,704.6998070274701,63.8502227079484,50,50,percentage_met_herkomstland_buiten_europa,Medium migration,,,
3.0,501.52783461661,289.3233114217106,455.62228186587083,69.53973704877605,56,56,percentage_met_herkomstland_buiten_europa,High migration,,,
,269.64619057920953,185.80046207429493,197.60142127852842,89.07281194687464,55,55,personenautos_per_huishouden,Low car ownership,1.0,,
,428.09682929886685,340.99063834732243,255.0483678997164,72.78261573050278,59,59,personenautos_per_huishouden,Medium car ownership,2.0,,
,1244.0693253653894,1203.1297224990667,756.6493108750882,22.131065523001677,49,49,personenautos_per_huishouden,High car ownership,3.0,,
,292.6577520876036,247.85119388771813,184.29067881624192,85.35950352930934,35,35,gemiddeld_inkomen_per_inwoner,Low income,,1.0,
,496.56717228100354,211.35452033132617,585.0308830626333,75.39351546573162,32,32,gemiddeld_inkomen_per_inwoner,Medium income,,2.0,
,408.9581504798528,256.42518299744086,332.5437700088856,74.20453884510637,34,34,gemiddeld_inkomen_per_inwoner,High income,,3.0,
,288.6142816415913,226.06173468526652,162.1662426429276,83.24415516897949,34,34,gemiddelde_woz_waarde,Low WOZ,,,1.0
,379.20876753288593,210.08528262527722,453.756434087939,83.74029382511067,35,35,gemiddelde_woz_waarde,Medium WOZ,,,2.0
,525.1609713453852,322.4051152980843,472.00782910924323,66.51383844455015,34,34,gemiddelde_woz_waarde,High WOZ,,,3.0
