buurt_idx,mean_distance,std_distance,mean_pct_100m,mean_pct_250m,mean_pct_500m,total_addresses,n_observations,percentage_met_herkomstland_buiten_europa,personenautos_per_huishouden,bevolkingsdichtheid_inwoners_per_km2,percentage_koopwoningen,buurtcode,gemiddeld_inkomen_per_inwoner,gemiddeld_inkomen_per_ontvanger,gemiddelde_woz_waarde,pct_huishoudens_laag_inkomen,pct_personen_laagste_40,pct_personen_hoogste_20,buurtnaam
0,,,,,,0,0,,,,,BU05189998,,,,,,,Buitenwater
1,5262.919590665246,20.342860424952516,0.0,0.0,0.0,1,2208,,,21.0,,BU05031600,,,,,,,De Bras
2,,,,,,0,0,,,,,BU05180170,,,,,,,Oostduinen
3,198.64218208380947,34.96178386977033,24.00419928245271,73.61321976303923,95.91269028829518,4088,2208,22.0,0.7,7900.0,,BU05180271,42.4,52.6,503.0,3.9,38.0,32.0,Belgisch Park
4,377.1153400059519,62.52890692467228,1.1349829239458822,31.75605597880818,70.8880642760191,662,2208,21.0,0.9,2644.0,,BU05180373,65.5,80.1,712.0,4.1,34.7,38.4,Westbroekpark
5,691.5150085779549,74.1431590516459,0.0,18.34319526627219,25.44378698224852,676,2208,22.0,1.1,1006.0,,BU05180374,63.3,82.1,720.0,2.2,31.5,40.2,Duttendel
6,187.27184467839143,31.16829227634435,16.840102235703853,78.68000552372392,100.0,774,2208,24.0,0.9,5779.0,,BU05180448,67.3,88.9,776.0,4.5,26.8,49.6,Nassaubuurt
7,646.8540189463807,257.076319351996,1.8896692894851879,14.416359830525574,32.94243249604896,1293,2208,28.0,0.8,7935.0,,BU05180475,51.0,64.2,491.0,3.5,25.9,43.7,Uilennest
8,242.07436604546382,69.83044797249511,12.427204658901832,63.402431133296375,94.10317546440312,1803,2208,24.0,0.9,3767.0,,BU05180476,54.2,63.1,524.0,3.4,26.3,42.4,Duinzigt
9,537.2538128679988,31.854057312068818,2.3055060922326094,10.047778478508185,36.96394123757234,1758,2208,22.0,0.9,6378.0,,BU05180477,57.1,78.2,776.0,3.7,27.3,51.8,Waalsdorp
10,271.7666317134789,49.790513614632424,13.374022440804247,49.71901153296591,86.4665859741784,1136,2208,29.0,0.9,3500.0,,BU05180478,57.5,76.4,520.0,9.9,28.2,50.2,Arendsdorp
11,372.1817400744152,196.00167514260977,13.429110513931226,35.83781218246965,69.51311734584736,1084,2208,22.0,0.8,9551.0,,BU05180479,56.1,74.7,671.0,3.3,25.4,52.5,Van Hoytemastraat e.o.
12,172.68859752568545,30.024656296236603,24.612955213529723,80.15093909339512,99.88660297026581,3678,2208,26.0,0.7,7309.0,,BU05180546,59.6,72.5,639.0,5.1,32.7,37.5,Archipelbuurt
13,434.5261375026544,92.13949796861463,2.155498487020226,8.530916547220896,62.237916069437816,455,2208,25.0,1.0,746.0,,BU05180605,68.0,87.0,920.0,4.5,30.9,43.0,Van Stolkpark en Scheveningse Bosjes
14,134.59547482817786,28.86102777597667,30.967503245259458,94.87228466265732,100.0,1764,2208,16.0,0.6,10016.0,,BU05180701,33.3,40.2,331.0,5.7,41.4,20.8,Oud Scheveningen
15,175.87478599199335,31.167213774206974,19.937568211314968,85.89638885611468,98.05284349005959,2948,2208,18.0,0.8,5556.0,,BU05180702,36.6,44.8,372.0,3.4,38.5,24.6,Vissershaven
16,153.22343203460554,26.619470839835362,24.68331651879083,88.53360489971162,99.98442351456185,3146,2208,22.0,0.6,8795.0,,BU05180703,37.9,46.0,405.0,4.9,34.7,27.9,Scheveningen Badplaats
17,200.40750889301688,29.37514566919172,21.34146790703157,70.26241101658842,99.22383052712235,2213,2208,21.0,0.6,15034.0,,BU05180704,34.4,42.3,376.0,6.5,43.5,21.4,Visserijbuurt
18,254.82873035505702,49.836272987896336,6.054964539007092,48.63065641381437,98.9731729879741,940,2208,18.0,0.6,7060.0,,BU05180772,40.0,48.4,478.0,4.7,38.6,28.7,Rijslag
19,632.9566926783975,34.26013058246044,0.0,4.093226809728641,33.424079611536634,2719,2208,11.0,0.7,6343.0,,BU05180800,28.6,35.8,331.0,4.1,42.4,16.1,Duindorp
