buurt_idx,mean_distance,std_distance,mean_pct_100m,mean_pct_250m,mean_pct_500m,total_addresses,n_observations,percentage_met_herkomstland_buiten_europa,personenautos_per_huishouden,bevolkingsdichtheid_inwoners_per_km2,percentage_koopwoningen,buurtcode,gemiddeld_inkomen_per_inwoner,gemiddeld_inkomen_per_ontvanger,gemiddelde_woz_waarde,pct_huishoudens_laag_inkomen,pct_personen_laagste_40,pct_personen_hoogste_20,buurtnaam
0,,,,,,0,0,,,,,BU05189998,,,,,,,Buitenwater
1,3357.5952480549317,1758.1629727303302,0.0,0.0,0.0,1,7889,,,21.0,,BU05031600,,,,,,,De Bras
2,,,,,,0,0,,,,,BU05180170,,,,,,,Oostduinen
3,220.05714822917713,83.9158011249266,24.890155828956516,71.12294261945154,91.54747165849845,4088,7889,22.0,0.7,7900.0,,BU05180271,42.4,52.6,503.0,3.9,38.0,32.0,Belgisch Park
4,447.90068965821575,231.23307775278818,3.7760903839871878,30.556237431828862,65.41786931131688,662,7889,21.0,0.9,2644.0,,BU05180373,65.5,80.1,712.0,4.1,34.7,38.4,Westbroekpark
5,743.2901297845829,162.51079420594212,0.9615665884862526,12.104600743601495,18.269821435134386,676,7889,22.0,1.1,1006.0,,BU05180374,63.3,82.1,720.0,2.2,31.5,40.2,Duttendel
6,266.70084081560543,123.32814901323779,10.631425761117677,53.620715463228,91.99164571216325,774,7889,24.0,0.9,5779.0,,BU05180448,67.3,88.9,776.0,4.5,26.8,49.6,Nassaubuurt
7,437.6709269595353,155.71609897823643,2.357723075107174,24.54261697761781,64.15425474710644,1293,7889,28.0,0.8,7935.0,,BU05180475,51.0,64.2,491.0,3.5,25.9,43.7,Uilennest
8,315.78620743076846,274.79590797993137,11.968658030899755,53.5362008095267,88.37105268208708,1803,7889,24.0,0.9,3767.0,,BU05180476,54.2,63.1,524.0,3.4,26.3,42.4,Duinzigt
9,520.9902913867057,121.22636371493122,2.3076659065466223,10.488459687608112,45.15831219605473,1758,7889,22.0,0.9,6378.0,,BU05180477,57.1,78.2,776.0,3.7,27.3,51.8,Waalsdorp
10,321.05544620547835,107.61497024186045,12.051847464556639,32.36625833081899,86.15924696359167,1136,7889,29.0,0.9,3500.0,,BU05180478,57.5,76.4,520.0,9.9,28.2,50.2,Arendsdorp
11,219.6318442864581,155.54861389295007,23.88426549368802,71.22179324848136,92.72496993571787,1084,7889,22.0,0.8,9551.0,,BU05180479,56.1,74.7,671.0,3.3,25.4,52.5,Van Hoytemastraat e.o.
12,258.77591169032115,81.76729375731072,11.845924877606095,52.565086910408844,94.16459520490636,3678,7889,26.0,0.7,7309.0,,BU05180546,59.6,72.5,639.0,5.1,32.7,37.5,Archipelbuurt
