year,service_category,period,weighted_departures,weighted_arrivals,lambda_departures_per_hour,lambda_arrivals_per_hour,n_trips,n_persons,low_unique_person_count
2018,0.0,evening,44717482.965226,41461010.347174,10209.470996626942,9465.984097528311,418,302,False
2018,0.0,morning,16733165.362964,19945040.121798,3820.357388804566,4553.662128264384,195,167,False
2018,1.0,evening,39533191.276608,39087247.499994,9025.842757216438,8924.029109587673,358,254,False
2018,1.0,morning,21387350.303976,20985252.475443,4882.956690405479,4791.153533206165,203,167,False
2018,2.0,evening,48334428.636361,48616899.848986,11035.257679534474,11099.748823969407,442,307,False
2018,2.0,morning,22061873.226882,20926914.116679,5036.957357735616,4777.834273214384,206,184,False
2018,3.0,evening,39502360.377563,38592334.041013,9018.803739169634,8811.035169181052,347,268,False
2018,3.0,morning,19618346.551768,21810354.652905,4479.074555198174,4979.533025777397,200,178,False
2018,4.0,evening,61335295.279458,62416808.933186,14003.492072935616,14250.412998444292,543,357,False
2018,4.0,morning,28450870.457123,27214211.384702,6495.632524457305,6213.290270479909,237,202,False
2019,0.0,evening,37677698.77996,36363313.853387,8602.2143333242,8302.126450544976,610,457,False
2019,0.0,morning,17032367.053994,19144758.852084,3888.66827716758,4370.949509608219,314,275,False
2019,1.0,evening,39184633.797604,42418620.08014,8946.263424110502,9684.616456652968,851,615,False
2019,1.0,morning,21328428.679291,18632268.75678,4869.50426467831,4253.942638534246,446,374,False
2019,2.0,evening,42068772.676709,43481599.947858,9604.742620253195,9927.305924168493,864,600,False
2019,2.0,morning,23752517.745899,21801116.569819,5422.949257054566,4977.4238743879,469,410,False
2019,3.0,evening,39443093.587017,41291389.836719,9005.27250845137,9427.257953588813,513,397,False
2019,3.0,morning,22292130.08134,20382502.374374,5089.52741583105,4653.539354879908,288,253,False
2019,4.0,evening,68577694.853672,62685536.824109,15657.00795745936,14311.766398198402,1044,735,False
2019,4.0,morning,29272699.912221,33703216.650647,6683.264820141781,7694.798322065525,507,435,False
2020,0.0,evening,36612681.852525,34169323.336711,8359.059783681509,7801.21537367831,586,408,False
2020,0.0,morning,15234570.227292,17183639.121747,3478.212380660274,3923.2052789376708,293,241,False
2020,1.0,evening,36459181.071121,38146079.145365,8324.01394317831,8709.15048980936,729,501,False
2020,1.0,morning,18971123.570437,17086219.737041,4331.3067512413245,3900.9634102833334,370,311,False
2020,2.0,evening,39547124.619726,41613327.667117,9029.023885782191,9500.759741350912,819,566,False
2020,2.0,morning,20089922.339538,18440354.20885,4586.7402601684935,4210.126531700914,386,324,False
2020,3.0,evening,28812013.593169,30057092.66223,6578.085295244065,6862.349922883562,427,327,False
2020,3.0,morning,13988735.173126,13552189.291612,3193.7751536817354,3094.107144203653,207,186,False
2020,4.0,evening,47560009.990405,45431700.666432,10858.449769498859,10372.534398728767,741,512,False
2020,4.0,morning,20836576.945131,22363522.569308,4757.209348203424,5105.827070618266,339,287,False
2021,0.0,evening,38904740.730735,36823610.169904,8882.360897428081,8407.216933768037,664,457,False
2021,0.0,morning,17874512.627484,20895034.626728,4080.9389560465756,4770.555850851141,341,287,False
2021,1.0,evening,38496082.596841,40661748.521794,8789.059953616666,9283.50422872009,815,590,False
2021,1.0,morning,23621841.543546,22217925.304794,5393.114507658904,5072.585686026027,474,388,False
2021,2.0,evening,39203833.464988,40908865.664221,8950.646909814612,9339.923667630366,829,578,False
2021,2.0,morning,23348000.278496,21758727.145760998,5330.593670889498,4967.745923689726,462,381,False
2021,3.0,evening,32353717.915764,32712608.039701,7386.693588073973,7468.631972534476,480,357,False
2021,3.0,morning,16666725.716931,16731088.775034,3805.1885198472605,3819.883281971233,256,214,False
2021,4.0,evening,54451290.304096,52915402.683653,12431.801439291325,12081.14216521758,852,560,False
2021,4.0,morning,24386199.403215,24375948.090874,5567.625434523972,5565.284952254337,392,321,False
2022,0.0,evening,45262103.503477,44070740.574609,10333.813585268721,10061.812916577395,731,505,False
2022,0.0,morning,18391182.815858,18955840.579926,4198.900186268949,4327.81748400137,310,261,False
2022,1.0,evening,45624257.893786,46860421.860904,10416.4972360242,10698.726452261188,883,632,False
2022,1.0,morning,21769360.68139,20555481.236937,4970.1736715502275,4693.032245876027,414,342,False
2022,2.0,evening,41751289.483608,43007243.486253,9532.257872969863,9819.00536215822,849,582,False
2022,2.0,morning,21492833.624789,20714945.217522,4907.039640362786,4729.439547379452,430,356,False
2022,3.0,evening,41807193.677943,42019429.930087,9545.021387658218,9593.4771529879,577,426,False
2022,3.0,morning,19280464.176439,18037080.700105,4401.932460374201,4118.054954361872,262,234,False
2022,4.0,evening,69405407.369861,67821025.51816,15845.983417776486,15484.252401406391,1014,687,False
2022,4.0,morning,25725213.739174,28171225.155278,5873.33647013105,6431.7865651319635,433,360,False
2023,0.0,evening,41332261.636481,38887121.957542,9436.58941472169,8878.338346470777,656,476,False
2023,0.0,morning,17736682.267513,20714422.868833,4049.4708373317353,4729.3202896879,337,290,False
2023,1.0,evening,41670440.958871,44922756.773594,9513.79930567831,10256.337162921003,881,630,False
2023,1.0,morning,24243006.565926,21781985.976501,5534.933005919178,4973.0561590184925,490,407,False
2023,2.0,evening,41627190.689776,42644519.786275,9503.924815017353,9736.191732026256,828,587,False
2023,2.0,morning,21718964.22955,19575366.007302,4958.6676323173515,4469.26164550274,422,375,False
2023,3.0,evening,38678329.505691,39384562.08681,8830.668836915753,8991.909152239727,534,397,False
2023,3.0,morning,18012315.206942,17105144.796932,4112.400732178538,3905.2842002127854,252,222,False
2023,4.0,evening,62895023.537014,61063481.610616,14359.59441484338,13941.434157674885,959,649,False
2023,4.0,morning,27420023.633772,28597243.858972,6260.279368441096,6529.051109354338,450,373,False
pooled_2018_2023,0.0,evening,40751161.57806733,38629186.7065545,9303.918168508522,8819.449019761301,3665,2605,False
pooled_2018_2023,0.0,morning,17167080.059184168,19473122.695186,3919.4246710466136,4445.918423558448,1790,1521,False
pooled_2018_2023,1.0,evening,40161297.932471834,42016145.64696517,9169.246103304073,9592.727316658715,4517,3200,False
pooled_2018_2023,1.0,morning,21886851.890761,20209855.581249334,4996.998148575571,4614.122278824049,2397,1989,False
pooled_2018_2023,2.0,evening,42088773.26186133,43378742.733451664,9609.308963895282,9903.822541883941,4631,3218,False
pooled_2018_2023,2.0,morning,22077351.907525666,20536237.210988835,5040.491303088052,4688.638632645852,2375,2030,False
pooled_2018_2023,3.0,evening,36766118.1095245,37342902.766093336,8394.090892585502,8525.776887235921,2878,2172,False
pooled_2018_2023,3.0,morning,18309786.151091,17936393.431827,4180.316472851826,4095.0669935678084,1465,1287,False
pooled_2018_2023,4.0,evening,60704120.22241767,58722326.03935933,13859.388178634172,13406.923753278386,5152,3500,False
pooled_2018_2023,4.0,morning,26015264.015106,27404227.951630168,5939.557994316438,6256.67304831739,2347,1972,False
