service_zone,zone_area_km2,addresses_in_zone,address_density_per_km2,service_category,density_rank,zones_in_category,category_label
0,1.9420241110619003,17390.0,8954.57471456991,4,19,4,Cat 4
1,3.3367490986850115,17575.0,5267.102643985482,3,14,4,Cat 3
2,10.29608489923814,12440.0,1208.2262453877493,0,3,4,Cat 0
3,3.0665576196317885,17161.0,5596.177254305294,4,16,4,Cat 4
4,4.0171039142229805,16704.0,4158.219542406589,3,13,4,Cat 3
5,9.792062975436004,15336.0,1566.166398078863,1,5,4,Cat 1
6,4.971962573975043,9865.0,1984.125956948428,2,8,4,Cat 2
7,18.13005718703436,8067.0,444.9517128809215,0,0,4,Cat 0
8,3.037386764332799,16388.0,5395.427474841135,3,15,4,Cat 3
9,24.475783648122786,15903.0,649.7442626814407,0,1,4,Cat 0
10,8.097802363338442,17045.0,2104.8920725910307,2,9,4,Cat 2
11,10.50506782597361,12437.0,1183.9047787249615,0,2,4,Cat 0
12,3.4517199145289057,13145.0,3808.2464178713767,3,12,4,Cat 3
13,10.495686613584338,14459.0,1377.6135409079411,1,4,4,Cat 1
14,5.899666294153743,11661.0,1976.5524723924527,1,7,4,Cat 1
15,3.770014322135727,12069.0,3201.314098234743,2,11,4,Cat 2
16,2.396307329627564,19918.0,8311.955546660065,4,18,4,Cat 4
17,10.861962058069643,26538.0,2443.2049990714345,2,10,4,Cat 2
18,3.362581838895492,20722.0,6162.526592009003,4,17,4,Cat 4
19,10.8778814533624,20139.0,1851.371527290817,1,6,4,Cat 1
