buurtcode,gemiddeld_inkomen_per_inwoner,gemiddeld_inkomen_per_ontvanger,gemiddelde_woz_waarde,pct_huishoudens_laag_inkomen,pct_personen_laagste_40,pct_personen_hoogste_20
BU05180170,,,,,,
BU05180271,42.4,52.6,503.0,3.9,38.0,32.0
BU05180373,65.5,80.1,712.0,4.1,34.7,38.4
BU05180374,63.3,82.1,720.0,2.2,31.5,40.2
BU05180448,67.3,88.9,776.0,4.5,26.8,49.6
BU05180475,51.0,64.2,491.0,3.5,25.9,43.7
BU05180476,54.2,63.1,524.0,3.4,26.3,42.4
BU05180477,57.1,78.2,776.0,3.7,27.3,51.8
BU05180478,57.5,76.4,520.0,9.9,28.2,50.2
BU05180479,56.1,74.7,671.0,3.3,25.4,52.5
BU05180546,59.6,72.5,639.0,5.1,32.7,37.5
BU05180605,68.0,87.0,920.0,4.5,30.9,43.0
BU05180701,33.3,40.2,331.0,5.7,41.4,20.8
BU05180702,36.6,44.8,372.0,3.4,38.5,24.6
BU05180703,37.9,46.0,405.0,4.9,34.7,27.9
BU05180704,34.4,42.3,376.0,6.5,43.5,21.4
BU05180772,40.0,48.4,478.0,4.7,38.6,28.7
BU05180800,28.6,35.8,331.0,4.1,42.4,16.1
BU05180907,54.2,70.9,674.0,4.6,31.1,41.2
BU05180908,33.7,41.9,391.0,3.8,37.6,23.0
BU05181041,64.6,78.6,896.0,6.1,25.4,46.6
BU05181142,44.6,54.5,448.0,4.6,25.4,37.7
BU05181143,51.1,63.9,554.0,4.0,28.8,41.2
BU05181250,41.5,50.1,491.0,1.2,27.4,35.1
BU05181251,37.6,46.3,391.0,2.8,30.4,30.7
BU05181252,37.0,45.6,396.0,4.1,33.7,29.7
BU05181309,52.3,69.6,868.0,2.2,30.9,45.9
BU05181481,,,437.0,2.0,27.6,32.2
BU05181492,39.1,44.3,361.0,2.6,33.9,25.9
BU05181590,52.6,63.7,566.0,3.3,32.2,38.2
BU05181591,45.2,52.6,644.0,2.1,32.7,33.2
BU05181697,41.0,54.6,526.0,4.5,30.4,34.2
BU05181785,,,82.0,,,
