buurt_idx,n_houses,total_addresses,mean_distance,pct_within_100m,pct_within_250m,pct_within_500m,date,hour
0,0,0,,,,,2023-05-28,0
1,1,1,5277.326128838575,0.0,0.0,0.0,2023-05-28,0
2,0,0,,,,,2023-05-28,0
3,2265,4088,126.46567814065652,44.178082191780824,94.20254403131115,98.40998043052838,2023-05-28,0
4,316,662,184.64719768778076,11.933534743202417,72.80966767371602,100.0,2023-05-28,0
5,478,676,544.43633206019,2.9585798816568047,18.19526627218935,33.13609467455622,2023-05-28,0
6,551,774,199.08144641259437,12.790697674418606,75.5813953488372,100.0,2023-05-28,0
7,604,1293,449.17147081464907,0.15467904098994587,10.595514307811293,61.17556071152359,2023-05-28,0
8,820,1803,245.13296399422234,12.146422628951747,49.19578480310594,98.94620077648364,2023-05-28,0
9,1293,1758,662.4213196792739,0.0,0.0,10.978384527872583,2023-05-28,0
10,698,1136,314.1276343735156,2.7288732394366195,30.897887323943664,99.91197183098592,2023-05-28,0
11,856,1084,177.56369835724394,15.22140221402214,85.7011070110701,100.0,2023-05-28,0
12,2030,3678,319.6468625834194,8.863512778684067,30.424143556280587,91.13648722131593,2023-05-28,0
13,302,455,518.2685458509699,0.0,0.0,38.02197802197802,2023-05-28,0
14,1033,1764,156.5694243969608,21.65532879818594,89.05895691609977,100.0,2023-05-28,0
15,1810,2948,154.8942804952187,19.335142469470828,91.28222523744913,100.0,2023-05-28,0
16,1846,3146,91.20519564157999,55.78512396694215,100.0,100.0,2023-05-28,0
17,1167,2213,219.60241479673766,17.758698599186626,64.30185268865793,96.70131043831903,2023-05-28,0
18,593,940,147.87362881218502,17.23404255319149,94.46808510638299,100.0,2023-05-28,0
19,1646,2719,622.5959546206,0.0,5.627068775285031,36.99889665318132,2023-05-28,0
20,3441,5180,338.6281433926775,4.555984555984556,26.94980694980695,86.13899613899613,2023-05-28,0
21,1224,2289,342.0414830131651,0.39318479685452157,33.98864132809087,78.54958497160332,2023-05-28,0
22,254,407,238.17577262231939,8.845208845208845,78.13267813267814,87.71498771498771,2023-05-28,0
23,785,1634,357.4471073119162,4.16156670746634,22.643818849449204,86.59730722154222,2023-05-28,0
24,1765,3033,168.96418753347734,24.662050774810417,80.71216617210682,100.0,2023-05-28,0
25,653,1107,1107.5833965392203,0.0,0.0,0.0,2023-05-28,0
26,1323,3207,541.1116538135478,1.3719987527284068,10.134081696289368,44.58995946367321,2023-05-28,0
27,1521,3433,179.02600787356982,28.138654238275564,75.12379842703176,98.4270317506554,2023-05-28,0
28,1773,2076,1078.118541669107,0.0,0.0,12.138728323699421,2023-05-28,0
29,100,210,1629.618222442218,0.0,0.0,0.0,2023-05-28,0
30,1031,2968,2402.0125270927488,0.0,0.0,0.0,2023-05-28,0
