percentage_met_herkomstland_buiten_europa_tercile,mean_distance,median_distance,std_distance,mean_pct_500m,n_buurten,n_observations,variable,tercile_label,personenautos_per_huishouden_tercile,gemiddeld_inkomen_per_inwoner_tercile,gemiddelde_woz_waarde_tercile
1.0,928.8671189297489,758.1237072465519,699.0749168290979,37.53985407261923,62,62,percentage_met_herkomstland_buiten_europa,Low migration,,,
2.0,865.790884792281,593.5901271809431,698.1451669918781,43.958134245141,50,50,percentage_met_herkomstland_buiten_europa,Medium migration,,,
3.0,742.3166805024995,510.7108586013594,551.062880556475,47.54668173466295,56,56,percentage_met_herkomstland_buiten_europa,High migration,,,
,465.2808938084268,409.1977388477639,342.10131116336015,68.10141666504273,55,55,personenautos_per_huishouden,Low car ownership,1.0,,
,723.4104699807257,582.5596603323783,496.2397943988363,44.54059046834496,59,59,personenautos_per_huishouden,Medium car ownership,2.0,,
,1446.5640427212638,1248.4978908159264,714.652258513496,12.57795086969267,49,49,personenautos_per_huishouden,High car ownership,3.0,,
,486.7724874466511,464.881257322526,172.8624782020404,60.16557937721926,35,35,gemiddeld_inkomen_per_inwoner,Low income,,1.0,
,544.8840955746298,370.47181880694734,481.564713791602,68.48542131707278,32,32,gemiddeld_inkomen_per_inwoner,Medium income,,2.0,
,524.1830183913944,426.80965231506633,338.85990335303234,61.6897392424215,34,34,gemiddeld_inkomen_per_inwoner,High income,,3.0,
,466.50972413949637,448.0869888651756,148.11189560251557,60.640173799832354,34,34,gemiddelde_woz_waarde,Low WOZ,,,1.0
,470.04365931624113,376.74375686205445,353.3159162409888,70.96879715702283,35,35,gemiddelde_woz_waarde,Medium WOZ,,,2.0
,619.7660701331392,470.27687370886434,447.40133675014687,56.75923506345708,34,34,gemiddelde_woz_waarde,High WOZ,,,3.0
