buurt_idx,mean_distance,std_distance,mean_pct_100m,mean_pct_250m,mean_pct_500m,total_addresses,n_observations,percentage_met_herkomstland_buiten_europa,personenautos_per_huishouden,bevolkingsdichtheid_inwoners_per_km2,percentage_koopwoningen,buurtcode,gemiddeld_inkomen_per_inwoner,gemiddeld_inkomen_per_ontvanger,gemiddelde_woz_waarde,pct_huishoudens_laag_inkomen,pct_personen_laagste_40,pct_personen_hoogste_20,buurtnaam
0,,,,,,0,0,,,,,BU05189998,,,,,,,Buitenwater
1,3370.656601300386,762.2414268766098,0.0,0.0,0.0,1,1877,,,21.0,,BU05031600,,,,,,,De Bras
2,,,,,,0,0,,,,,BU05180170,,,,,,,Oostduinen
3,214.0225854425106,51.07848690308037,26.426632205490918,69.87505564840426,92.99112909699973,4088,1877,22.0,0.7,7900.0,,BU05180271,42.4,52.6,503.0,3.9,38.0,32.0,Belgisch Park
4,489.61162471246024,258.455577551893,3.2834261782396865,25.433012440305365,65.62820403452832,662,1877,21.0,0.9,2644.0,,BU05180373,65.5,80.1,712.0,4.1,34.7,38.4,Westbroekpark
5,755.7810544183806,190.0626263952205,1.365013413699943,13.516627628754183,19.91603433654989,676,1877,22.0,1.1,1006.0,,BU05180374,63.3,82.1,720.0,2.2,31.5,40.2,Duttendel
6,279.448990391861,66.66877469724463,3.2290105024924314,42.33575486750395,96.70043598628303,774,1877,24.0,0.9,5779.0,,BU05180448,67.3,88.9,776.0,4.5,26.8,49.6,Nassaubuurt
7,479.4214256110645,173.29248595671112,2.7285152089382567,20.62249867220775,56.238068926529934,1293,1877,28.0,0.8,7935.0,,BU05180475,51.0,64.2,491.0,3.5,25.9,43.7,Uilennest
8,334.36829862887896,283.43875696344395,12.024622432688549,49.900523929956314,84.95176599942498,1803,1877,24.0,0.9,3767.0,,BU05180476,54.2,63.1,524.0,3.4,26.3,42.4,Duinzigt
9,442.4031615279194,101.3031956258186,4.202116150054277,15.46288433785911,63.58384200576646,1758,1877,22.0,0.9,6378.0,,BU05180477,57.1,78.2,776.0,3.7,27.3,51.8,Waalsdorp
10,361.38786064577545,106.19015774449295,9.132746666466568,25.70028589223138,78.7140664980828,1136,1877,29.0,0.9,3500.0,,BU05180478,57.5,76.4,520.0,9.9,28.2,50.2,Arendsdorp
11,217.790477099482,166.05609882371505,22.822199985452173,74.25044282408729,92.59535216556215,1084,1877,22.0,0.8,9551.0,,BU05180479,56.1,74.7,671.0,3.3,25.4,52.5,Van Hoytemastraat e.o.
12,337.90766556686077,135.76053577825223,7.077982144403953,35.24492851996478,82.7456404667358,3678,1877,26.0,0.7,7309.0,,BU05180546,59.6,72.5,639.0,5.1,32.7,37.5,Archipelbuurt
13,519.225112662623,92.63561690462159,0.0,0.0,43.885789224095035,455,1877,25.0,1.0,746.0,,BU05180605,68.0,87.0,920.0,4.5,30.9,43.0,Van Stolkpark en Scheveningse Bosjes
14,244.77370369816046,122.56911738751944,11.806786291145832,61.82191754343364,93.31585235763635,1764,1877,16.0,0.6,10016.0,,BU05180701,33.3,40.2,331.0,5.7,41.4,20.8,Oud Scheveningen
15,190.98465506688402,60.6136695217726,20.518719426551073,78.76864406595878,96.99616654943908,2948,1877,18.0,0.8,5556.0,,BU05180702,36.6,44.8,372.0,3.4,38.5,24.6,Vissershaven
