year,service_category,period,weighted_departures,weighted_arrivals,lambda_departures_per_hour,lambda_arrivals_per_hour,n_trips,n_persons,low_unique_person_count
2018,0.0,evening,31504600.087763,31364044.762896,7192.831070265525,7160.740813446576,287,228,False
2018,0.0,morning,16865204.091295,15818874.571682,3850.503217190639,3611.615199014155,154,130,False
2018,1.0,evening,37023258.629103,34903992.464728,8452.798773767807,7968.9480513077615,346,261,False
2018,1.0,morning,20418694.172399,21373047.061632,4661.802322465525,4879.691109961644,189,164,False
2018,2.0,evening,49305382.047049,46034726.460916,11256.936540422146,10510.211520757077,420,298,False
2018,2.0,morning,18875709.796101,23104709.398145,4309.522784497945,5275.047807795662,206,181,False
2018,3.0,evening,56972115.730636,56671208.949868,13007.332358592694,12938.63218033516,535,351,False
2018,3.0,morning,24710455.023899,24477496.617368,5641.656398150456,5588.469547344293,240,204,False
2018,4.0,evening,58617402.040665,61200328.031945,13382.968502434931,13972.677632864155,503,350,False
2018,4.0,morning,27381542.819019,26107645.1027,6251.493794296576,5960.649566826483,218,181,False
2019,0.0,evening,31545419.30221,32499663.060795,7202.150525618722,7420.014397441781,476,373,False
2019,0.0,morning,17706784.555471,16332012.009741,4042.64487567831,3728.769865237671,256,222,False
2019,1.0,evening,34500809.422185004,31635119.439643,7876.89712835274,7222.630009050913,736,535,False
2019,1.0,morning,15122116.237759,17757427.859185,3452.5379538262555,4054.207273786529,384,324,False
2019,2.0,evening,44423925.040331,47583745.819547,10142.448639344977,10863.868908572373,752,539,False
2019,2.0,morning,22947896.152362,20375229.344111,5239.245696886302,4651.878845687443,374,319,False
2019,3.0,evening,51882120.411281,52944363.849277,11845.2329706121,12087.754303487898,939,595,False
2019,3.0,morning,27949408.979602,26401702.210085,6381.143602648859,6027.78589271347,494,403,False
2019,4.0,evening,64599619.518955,61577568.372951,14748.771579670092,14058.805564600685,922,678,False
2019,4.0,morning,29951937.547551,32797491.780582,6838.341905833561,7488.011822050685,460,406,False
2020,0.0,evening,31962687.497717,32822904.867656,7297.417236921689,7493.813896725114,470,351,False
2020,0.0,morning,15507082.810757,14379348.334218,3540.4298654696345,3282.9562406890414,235,207,False
