identificatie,lat,lon,gebruiksdoel,activity_function_count,oppervlakte_m2
0518010000356350,52.07608587195889,4.279279057860288,winkelfunctie,1,125
0518010000356382,52.07430798922953,4.309447806651704,winkelfunctie,1,77
0518010000355428,52.093180097358314,4.30514489055258,"winkelfunctie,woonfunctie",1,172
0518010000355464,52.071067716248635,4.252224154219371,"winkelfunctie,woonfunctie",1,109
0518010000356496,52.04485737535132,4.255781626021908,winkelfunctie,1,61
0518010000356498,52.04466670745818,4.256077677986904,winkelfunctie,1,99
0518010000355537,52.10459542018608,4.279046833495813,"winkelfunctie,woonfunctie",1,114
0518010000357412,52.06428285309184,4.258611983832534,"winkelfunctie,woonfunctie",1,120
0518010000357420,52.091962113525454,4.301622899111408,"winkelfunctie,woonfunctie",1,54
0518010000356561,52.085130178806864,4.299389921425201,winkelfunctie,1,316
0518010000357456,52.08527197407196,4.330089807773485,"kantoorfunctie,woonfunctie",1,308
0518010000356575,52.08880138900106,4.337000021704272,"kantoorfunctie,woonfunctie",1,256
0518010000357466,52.084465321659835,4.313370957538481,bijeenkomstfunctie,1,173
0518010000355591,52.051430335381774,4.297510160162007,bijeenkomstfunctie,1,174
0518010000356589,52.10487540802369,4.279298089056662,bijeenkomstfunctie,1,95
0518010000356591,52.08041426769276,4.280560500297451,winkelfunctie,1,66
0518010000357504,52.08541334907955,4.312325503953026,winkelfunctie,1,123
0518010000355655,52.05688227076456,4.233411114179382,bijeenkomstfunctie,1,115
0518010000355673,52.057542918471405,4.319646541629245,"winkelfunctie,woonfunctie",1,49
0518010000358426,52.078799971738164,4.309601867676619,bijeenkomstfunctie,1,679
0518010000355733,52.08364945589477,4.305814827294863,kantoorfunctie,1,669
0518010000358452,52.05542230773762,4.304637757280025,"winkelfunctie,woonfunctie",1,53
0518010000359431,52.08471304816578,4.280123576738442,"winkelfunctie,woonfunctie",1,213
0518010000355192,52.055892747925505,4.274577699486148,bijeenkomstfunctie,1,232
0518010000356779,52.078018222164445,4.2894352677044125,"winkelfunctie,woonfunctie",1,59
0518010000358488,52.04284631455748,4.26039641119147,bijeenkomstfunctie,1,155
0518010000356785,52.095126997433255,4.270177495670309,"winkelfunctie,woonfunctie",1,243
0518010000358506,52.06061221849955,4.33311937235613,"winkelfunctie,woonfunctie",1,79
0518010000358511,52.093582380328456,4.3022969812277605,"kantoorfunctie,woonfunctie",1,368
0518010000357712,52.07809675174024,4.278006670413287,"winkelfunctie,woonfunctie",1,81
0518010000355827,52.06188122880337,4.2312155912383815,bijeenkomstfunctie,1,936
0518010000358535,52.057786383392454,4.245589417555298,"winkelfunctie,woonfunctie",1,81
0518010000359514,52.056909390305,4.298359470722622,onderwijsfunctie,1,6189
0518010000358557,52.070903543531735,4.277317330773787,"winkelfunctie,woonfunctie",1,57
0518010000355324,52.07997905047134,4.339141722460285,onderwijsfunctie,1,1987
0518010000357777,52.06859553025007,4.237090105107699,winkelfunctie,1,445
0518010000358587,52.08833239727467,4.274394575370154,"kantoorfunctie,woonfunctie",1,252
0518010000359574,52.09368653629058,4.328401448577106,winkelfunctie,1,40
0518010000358607,52.08862000690559,4.276945296617348,"winkelfunctie,woonfunctie",1,140
0518010000355913,52.08838967801749,4.276700982394607,winkelfunctie,1,128
0518010000357815,52.091158279260554,4.304533742264221,winkelfunctie,1,93
0518010000358614,52.07669192550787,4.292739108078078,winkelfunctie,1,256
0518010000356910,52.091046830307306,4.308991080165878,"kantoorfunctie,woonfunctie",1,146
0518010000360425,52.043026246443816,4.2643150842752044,winkelfunctie,1,87
0518010000359606,52.06373463237665,4.329902845276033,bijeenkomstfunctie,1,233
0518010000358639,52.07381862982426,4.268957572912707,"winkelfunctie,woonfunctie",1,115
0518010000356940,52.07686003460905,4.279127568971236,"winkelfunctie,woonfunctie",1,136
0518010000356944,52.08148595157813,4.293160304323458,"winkelfunctie,woonfunctie",1,140
0518010000358659,52.065459974321904,4.30983301338452,"kantoorfunctie,woonfunctie",1,88
0518010000356964,52.07715639281106,4.278294269089799,"winkelfunctie,woonfunctie",1,85
0518010000361374,52.08522520140322,4.340388870852259,"winkelfunctie,woonfunctie",1,47
0518010000360497,52.07031168701443,4.318014652885779,winkelfunctie,1,170
0518010000358721,52.08686250631776,4.310971948494024,"winkelfunctie,woonfunctie",1,68
0518010000359684,52.104450093946454,4.302351012595111,kantoorfunctie,1,464
0518010000359686,52.09423350970425,4.277276290868035,winkelfunctie,1,909
0518010000356025,52.06780368639729,4.282635450744432,"winkelfunctie,woonfunctie",1,85
0518010000357008,52.072657724633416,4.269565424678102,onderwijsfunctie,1,931
0518010000356033,52.06708380711053,4.2817227726822376,"winkelfunctie,woonfunctie",1,269
0518010000356036,52.0665784205532,4.2814487252942435,kantoorfunctie,1,180
0518010000361432,52.033445850947075,4.258984165170421,bijeenkomstfunctie,1,107
0518010000357963,52.066708843666646,4.285542081447644,kantoorfunctie,1,122
0518010000357965,52.06668185633182,4.285457176622966,kantoorfunctie,1,111
0518010000356104,52.03985722818572,4.256459143745254,winkelfunctie,1,207
0518010000357098,52.110490344676705,4.286131016134811,"winkelfunctie,woonfunctie",1,307
0518010000361514,52.06743659749407,4.311233291958236,winkelfunctie,1,227
0518010000359766,52.083261094898305,4.278058140747358,winkelfunctie,1,30
0518010000357116,52.05362593313998,4.23412378430039,winkelfunctie,1,70
0518010000357128,52.065399891369786,4.291091737873025,"winkelfunctie,woonfunctie",1,79
0518010000358847,52.065979833629704,4.253380276537428,"winkelfunctie,woonfunctie",1,94
0518010000358047,52.08159702710755,4.258483499358269,"winkelfunctie,woonfunctie",1,91
0518010000359812,52.05878614082269,4.320976123510214,winkelfunctie,1,81
0518010000357148,52.08467802257422,4.330925181932969,"logiesfunctie,woonfunctie",1,248
0518010000360683,52.09341262229268,4.269639589226139,"winkelfunctie,woonfunctie",1,78
0518010000356172,52.07461305435729,4.280916942890161,winkelfunctie,1,77
0518010000358870,52.11599762176533,4.28762688603241,"winkelfunctie,woonfunctie",1,135
0518010000358876,52.07986522504768,4.267977814736652,winkelfunctie,1,136
0518010000357162,52.06628860140297,4.279444974695361,"winkelfunctie,woonfunctie",1,80
0518010000358882,52.06617910392457,4.30357105537055,winkelfunctie,1,58
0518010000361614,52.05331100460711,4.244122993933579,"winkelfunctie,woonfunctie",1,81
0518010000359854,52.072820384537835,4.310816949089562,winkelfunctie,1,87
0518010000359858,52.07581196830247,4.277919895328631,"kantoorfunctie,woonfunctie",1,171
0518010000361626,52.0747641325767,4.3111915386951845,bijeenkomstfunctie,1,93
0518010000361628,52.07585974645436,4.313241186810381,"winkelfunctie,woonfunctie",1,125
0518010000360727,52.06653833549477,4.283968773325171,winkelfunctie,1,167
0518010000362379,52.07047524432409,4.307961166303787,kantoorfunctie,1,169
0518010000360741,52.09345109168986,4.276640695308935,winkelfunctie,1,202
0518010000358113,52.047005706674106,4.282771203563063,bijeenkomstfunctie,1,84
0518010000360743,52.092104192017004,4.275559757846857,bijeenkomstfunctie,1,152
0518010000360747,52.11234160945799,4.28890268360722,"winkelfunctie,woonfunctie",1,159
0518010000362397,52.08799737084228,4.310296339590289,winkelfunctie,1,269
0518010000360753,52.11016885419853,4.281021200780355,"winkelfunctie,woonfunctie",1,64
0518010000356230,52.07387571427963,4.3096190583332366,winkelfunctie,1,37
0518010000362405,52.072545201805355,4.284906020228722,bijeenkomstfunctie,1,1601
0518010000358139,52.07819480062744,4.2894684268708545,bijeenkomstfunctie,1,26
0518010000360761,52.10146858055909,4.314318513952422,winkelfunctie,1,55
0518010000357241,52.08940008758603,4.338310912961318,kantoorfunctie,1,3625
0518010000356250,52.05353483543693,4.234194018554026,winkelfunctie,1,70
0518010000358942,52.087066168669914,4.3110925772513475,winkelfunctie,1,51
0518010000358948,52.0875627564239,4.277285777360877,"kantoorfunctie,woonfunctie",1,252
0518010000358159,52.08043293705149,4.296295538027743,bijeenkomstfunctie,1,31
0518010000357262,52.039400119822595,4.272619025901565,kantoorfunctie,1,73
0518010000360809,52.06059668168791,4.273550697748829,winkelfunctie,1,80
0518010000357286,52.08549441811915,4.298842597301014,"winkelfunctie,woonfunctie",1,261
0518010000361696,52.07551743155942,4.267396171546765,"winkelfunctie,woonfunctie",1,107
0518010000358986,52.10230384477684,4.2825664251461175,"kantoorfunctie,woonfunctie",1,258
0518010000359948,52.085936968713604,4.3118949430842495,"winkelfunctie,woonfunctie",1,74
0518010000359000,52.07467211251287,4.272492519752296,"winkelfunctie,woonfunctie",1,170
0518010000362483,52.0801374743893,4.281735202472473,"kantoorfunctie,woonfunctie",1,188
0518010000359011,52.09019134392476,4.274333545114091,winkelfunctie,1,378
0518010000360851,52.089210920664016,4.2752999601173025,winkelfunctie,1,133
0518010000356338,52.05486187475257,4.3006753043714525,winkelfunctie,1,40
0518010000362517,52.05087300180759,4.304292769490404,winkelfunctie,1,124
0518010000362519,52.050588173186604,4.3046632006534455,winkelfunctie,1,141
0518010000359992,52.0744247024661,4.310300467917969,winkelfunctie,1,68
0518010000358251,52.06694873181357,4.2865840439243525,kantoorfunctie,1,275
0518010000360899,52.06914945079002,4.315430542339163,winkelfunctie,1,89
0518010000362553,52.066668577254184,4.285984672476684,winkelfunctie,1,65
0518010000358296,52.06832667334431,4.283735798520523,"winkelfunctie,woonfunctie",1,86
0518010000359103,52.072695484536226,4.310934853936046,winkelfunctie,1,59
0518010000362599,52.07874142500506,4.30900019488729,"winkelfunctie,woonfunctie",1,127
0518010000360061,52.077294417855654,4.27085754166151,winkelfunctie,1,119
0518010000360979,52.0877632158027,4.310490240117029,kantoorfunctie,1,43
0518010000362633,52.05743965452858,4.318162773451637,bijeenkomstfunctie,1,79
0518010000359161,52.087442672011896,4.310487597912615,bijeenkomstfunctie,1,155
0518010000363444,52.07940731276179,4.316913476898618,bijeenkomstfunctie,1,283
0518010000364398,52.0747194417358,4.265397630280769,"winkelfunctie,woonfunctie",1,131
0518010000362647,52.0925067698704,4.358386982668998,winkelfunctie,1,105
0518010000361021,52.0663313271825,4.296620051298249,winkelfunctie,1,129
0518010000362671,52.06022117343214,4.326837032538841,winkelfunctie,1,115
0518010000364420,52.075185593977494,4.309615689231499,logiesfunctie,1,160
0518010000360126,52.10597368288144,4.279443963930466,logiesfunctie,1,47
0518010000360132,52.07371236717537,4.309999047849285,"winkelfunctie,woonfunctie",1,249
0518010000360134,52.07359815643267,4.310103279930366,winkelfunctie,1,47
0518010000363486,52.08747459119824,4.274866861861009,"winkelfunctie,woonfunctie",1,175
0518010000365432,52.075598578980134,4.2679255586982725,winkelfunctie,1,106
0518010000359205,52.04961770548399,4.2992586830166495,bijeenkomstfunctie,1,188
0518010000359213,52.07748970305809,4.270662537464205,winkelfunctie,1,105
0518010000363520,52.07356178512142,4.31669002256513,bijeenkomstfunctie,1,252
