station_id_str,provider,station_id,station_id_raw,name,lat,lon,capacity,service_zone,service_category
donkey_denHaag::18860,donkey_denHaag,18860,18860,Stamkartstraat,52.0676108,4.3216707,4,18,4
donkey_denHaag::18863,donkey_denHaag,18863,18863,Bontoekstraat,52.0702538,4.3263082,3,18,4
donkey_denHaag::18865,donkey_denHaag,18865,18865,AH Zuylichemstraat,52.0708313,4.3225854,8,18,4
donkey_denHaag::18867,donkey_denHaag,18867,18867,Van Maanenkade,52.0714197,4.325112,3,18,4
donkey_denHaag::18868,donkey_denHaag,18868,18868,Oranjelaan,52.0716342,4.3220415,3,18,4
donkey_denHaag::18869,donkey_denHaag,18869,18869,Trekvietplein,52.0722482,4.3261949,12,18,4
donkey_denHaag::18878,donkey_denHaag,18878,18878,Scheldestraat,52.0744381,4.3239685,6,18,4
donkey_denHaag::18881,donkey_denHaag,18881,18881,Spui 300,52.0752072,4.3199492,6,18,4
donkey_denHaag::18882,donkey_denHaag,18882,18882,Bierkade,52.0745643,4.3184421,8,18,4
donkey_denHaag::18887,donkey_denHaag,18887,18887,Theater aan het Spui (Donkey in rack),52.076334,4.3167128,6,18,4
donkey_denHaag::18889,donkey_denHaag,18889,18889,Ammunitiehaven II,52.0781024,4.3225396,3,18,4
donkey_denHaag::18891,donkey_denHaag,18891,18891,WTC The Hague I,52.0788986,4.3374599,14,12,3
donkey_denHaag::18892,donkey_denHaag,18892,18892,WTC The Hague II,52.0786305,4.3360611,3,12,3
donkey_denHaag::18893,donkey_denHaag,18893,18893,WTC The Hague III,52.0791561,4.3358734,12,12,3
donkey_denHaag::18915,donkey_denHaag,18915,18915,De Vriesstraat,52.0836125,4.3444116,3,12,3
donkey_denHaag::18917,donkey_denHaag,18917,18917,Stuyvesantplein,52.0842277,4.3431771,12,12,3
donkey_denHaag::18918,donkey_denHaag,18918,18918,Loudonstraat,52.0857485,4.3458531,8,12,3
donkey_denHaag::18919,donkey_denHaag,18919,18919,De Eerensplein,52.0891537,4.3444034,8,12,3
donkey_denHaag::18925,donkey_denHaag,18925,18925,Theresiastraat I (Donkey in rack),52.0860425,4.3365402,8,12,3
donkey_denHaag::18937,donkey_denHaag,18937,18937,Emmastraat I,52.0838888,4.3322031,6,12,3
donkey_denHaag::18943,donkey_denHaag,18943,18943,Unicef (L),52.0864489,4.3321903,3,12,3
donkey_denHaag::18945,donkey_denHaag,18945,18945,Bezuidenhoutseweg II,52.0848467,4.329004,3,12,3
donkey_denHaag::18948,donkey_denHaag,18948,18948,Malietoren I (Donkey in rack),52.0839911,4.3263549,3,12,3
donkey_denHaag::18949,donkey_denHaag,18949,18949,Wagenstraat,52.074111,4.3165014,3,18,4
donkey_denHaag::18950,donkey_denHaag,18950,18950,Dunne Bierkade,52.0734656,4.3157072,3,18,4
donkey_denHaag::18953,donkey_denHaag,18953,18953,Stille Veerkade I,52.0744182,4.3148488,6,18,4
donkey_denHaag::18954,donkey_denHaag,18954,18954,Paviljoensgracht,52.0745081,4.3108949,6,18,4
donkey_denHaag::18955,donkey_denHaag,18955,18955,Gedempte Burgwal,52.0754489,4.3122149,6,18,4
donkey_denHaag::18956,donkey_denHaag,18956,18956,Gedempte Gracht,52.0760486,4.3133663,6,18,4
donkey_denHaag::18958,donkey_denHaag,18958,18958,Muzenplein,52.0796179,4.319758,12,18,4
donkey_denHaag::18959,donkey_denHaag,18959,18959,Muzenstraat,52.0806941,4.3204349,10,18,4
donkey_denHaag::18960,donkey_denHaag,18960,18960,Herengracht,52.0806916,4.3189241,3,18,4
donkey_denHaag::18961,donkey_denHaag,18961,18961,KABK,52.0817733,4.3195256,16,18,4
donkey_denHaag::18962,donkey_denHaag,18962,18962,KJ Basement (Park underground),52.0815393,4.3228549,30,18,4
donkey_denHaag::18964,donkey_denHaag,18964,18964,Paviljoen Malieveld,52.0837158,4.3182908,20,18,4
donkey_denHaag::18966,donkey_denHaag,18966,18966,Schouwburgstraat,52.0822684,4.3157216,10,18,4
donkey_denHaag::18968,donkey_denHaag,18968,18968,Het Plein,52.080295,4.3158875,8,18,4
donkey_denHaag::18969,donkey_denHaag,18969,18969,Lange Houtstraat,52.0811044,4.3156179,6,18,4
donkey_denHaag::18971,donkey_denHaag,18971,18971,Escher,52.0834482,4.3135295,6,18,4
donkey_denHaag::18973,donkey_denHaag,18973,18973,Prinsessengracht II,52.0854396,4.3153853,3,2,0
donkey_denHaag::18974,donkey_denHaag,18974,18974,Hofweg,52.0783327,4.3131101,6,18,4
donkey_denHaag::18975,donkey_denHaag,18975,18975,Buitenhof,52.0789563,4.3108922,16,18,4
donkey_denHaag::18976,donkey_denHaag,18976,18976,Kettingstraat,52.0782088,4.3100395,6,18,4
donkey_denHaag::18977,donkey_denHaag,18977,18977,Visbanken,52.0770551,4.3079689,6,3,4
donkey_denHaag::18979,donkey_denHaag,18979,18979,Lange Vijverberg,52.0806848,4.3107433,6,3,4
donkey_denHaag::18980,donkey_denHaag,18980,18980,Heulstraat,52.0808291,4.3078686,6,3,4
donkey_denHaag::18981,donkey_denHaag,18981,18981,Lange Voorhout I,52.0816365,4.3103206,6,3,4
donkey_denHaag::18987,donkey_denHaag,18987,18987,Willem Witsenplein,52.0927728,4.3296922,12,2,0
donkey_denHaag::18991,donkey_denHaag,18991,18991,Van Hoytemastraat I,52.0918961,4.3252678,3,2,0
donkey_denHaag::18999,donkey_denHaag,18999,18999,Spaces,52.0879427,4.3197895,3,2,0
donkey_denHaag::19004,donkey_denHaag,19004,19004,Groenhovenstraat I,52.0943835,4.3130506,4,2,0
donkey_denHaag::19007,donkey_denHaag,19007,19007,Bachmanstraat,52.0928183,4.3119103,16,2,0
donkey_denHaag::19010,donkey_denHaag,19010,19010,Madurodam,52.0991058,4.2995375,12,2,0
donkey_denHaag::19015,donkey_denHaag,19015,19015,Koningskade,52.0884964,4.3140632,3,2,0
donkey_denHaag::19018,donkey_denHaag,19018,19018,Koninginnegracht,52.0879374,4.3133565,6,2,0
donkey_denHaag::19021,donkey_denHaag,19021,19021,Denneweg II,52.0851569,4.3125148,3,2,0
donkey_denHaag::19022,donkey_denHaag,19022,19022,Denneweg I,52.0862835,4.3111202,3,2,0
donkey_denHaag::19024,donkey_denHaag,19024,19024,Frederikstraat II,52.0882218,4.3100457,6,2,0
donkey_denHaag::19026,donkey_denHaag,19026,19026,Balistraat I,52.0893786,4.310559,3,2,0
donkey_denHaag::19031,donkey_denHaag,19031,19031,Javastraat I,52.0880644,4.3037014,3,3,4
donkey_denHaag::19034,donkey_denHaag,19034,19034,Mauritskade,52.0852892,4.3090442,3,3,4
donkey_denHaag::19038,donkey_denHaag,19038,19038,Parkstraat,52.0831823,4.3080534,4,3,4
donkey_denHaag::19043,donkey_denHaag,19043,19043,Bankastraat I,52.0918222,4.3043504,3,2,0
donkey_denHaag::19044,donkey_denHaag,19044,19044,Batjanstraat,52.0944885,4.3049663,3,2,0
donkey_denHaag::19050,donkey_denHaag,19050,19050,Burgemeester Kolfschotenlaan I,52.0903905,4.3038493,3,2,0
donkey_denHaag::19060,donkey_denHaag,19060,19060,Laan van Meerdervoort I,52.0866226,4.3004453,3,3,4
donkey_denHaag::19061,donkey_denHaag,19061,19061,Zeestraat I,52.0862909,4.3016585,14,3,4
donkey_denHaag::19062,donkey_denHaag,19062,19062,Sophialaan bis,52.085532,4.3024017,6,3,4
donkey_denHaag::19064,donkey_denHaag,19064,19064,Mauritskade I,52.0841165,4.3053649,3,3,4
donkey_denHaag::19065,donkey_denHaag,19065,19065,Scheveningseveer,52.0839001,4.3045794,2,3,4
donkey_denHaag::19066,donkey_denHaag,19066,19066,Oranjestraat,52.0824277,4.3060758,6,3,4
donkey_denHaag::19068,donkey_denHaag,19068,19068,Vredespaleis,52.0867759,4.2974597,6,3,4
donkey_denHaag::19069,donkey_denHaag,19069,19069,Trompstraat,52.0857222,4.297682,6,3,4
donkey_denHaag::19070,donkey_denHaag,19070,19070,Anna Paulowna,52.0847924,4.2998039,6,3,4
donkey_denHaag::19071,donkey_denHaag,19071,19071,De Ruijterstraat,52.0834312,4.3021265,6,3,4
donkey_denHaag::19072,donkey_denHaag,19072,19072,Jacob van der Doesstraat II,52.0841134,4.2974077,3,3,4
donkey_denHaag::19074,donkey_denHaag,19074,19074,Elandstraat II,52.0819843,4.3001892,4,3,4
donkey_denHaag::19076,donkey_denHaag,19076,19076,2e de Riemerstraat,52.0815146,4.2985568,3,3,4
donkey_denHaag::19078,donkey_denHaag,19078,19078,Veenkade,52.0797092,4.3022427,6,3,4
donkey_denHaag::19079,donkey_denHaag,19079,19079,Molenstraat,52.0794112,4.3048099,6,3,4
donkey_denHaag::19080,donkey_denHaag,19080,19080,Prinsestraat,52.0783801,4.3068089,6,3,4
donkey_denHaag::19081,donkey_denHaag,19081,19081,Kerkplein,52.0776795,4.3059342,4,3,4
donkey_denHaag::19082,donkey_denHaag,19082,19082,Grote Markt (tram stop Prinsengracht),52.074915,4.3074949,45,18,4
donkey_denHaag::19083,donkey_denHaag,19083,19083,Prinsegracht (Donkey in rack),52.0748048,4.3068075,12,18,4
donkey_denHaag::19084,donkey_denHaag,19084,19084,Brouwersgracht (Donkey in rack),52.0740517,4.3046397,6,16,4
donkey_denHaag::19085,donkey_denHaag,19085,19085,Assendelftstraat (Donkey in rack),52.0752839,4.3051167,3,3,4
donkey_denHaag::19086,donkey_denHaag,19086,19086,Vleerstraat,52.0770853,4.3033975,3,3,4
donkey_denHaag::19087,donkey_denHaag,19087,19087,Torenstraat,52.0785462,4.3044445,12,3,4
