service_zone,zone_area_km2,addresses_in_zone,address_density_per_km2,bag_activity_count,bag_activity_function_count,bag_activity_area_m2,bag_activity_density_per_km2,zone_departures_per_hour,zone_arrivals_per_hour,departure_score,density_score,activity_score,service_pressure_score,density_rank,service_category,service_pressure_rank,zones_in_category,category_label
0,17.85303963688168,15620.0,874.921039649262,202,207,201749,11.314599872544873,2378.922559260122,2395.809829564041,0.2282101103735112,0.07974834859063494,0.013479773772901354,0.10714607757901583,1,0,2,4,Cat 0
1,4.103556560152333,20404.0,4972.272150001159,1139,1156,333657,277.564104040939,6988.128685942656,6931.49840256872,0.9187438533575014,0.5771605744329998,0.3600767684400349,0.618660398743512,14,4,17,4,Cat 4
2,7.9019413116689305,26469.0,3349.6831925229285,569,575,320879,72.00762161568424,6987.908334747679,6957.121421503767,0.9187108411789924,0.3801807298384338,0.09248844272476726,0.46379333791406446,10,3,14,4,Cat 3
3,2.4373939801978888,20609.0,8455.342126645764,1020,1028,329580,418.47974036482503,2731.123386974391,2693.604204444825,0.2809754997180405,1.0,0.5435172454618262,0.6081642483932889,19,4,16,4,Cat 4
4,2.7388593617476404,17582.0,6419.46068701428,1410,1423,405924,514.8128522744929,5224.627451835502,5182.553412900571,0.6545428012727735,0.7528470733494738,0.6689212989984151,0.6921037245402208,17,4,18,4,Cat 4
5,7.294075566277181,18301.0,2509.022539416964,7,7,4863,0.9596829558996091,855.6553046302893,845.8666668045662,0.0,0.27812579840161555,0.0,0.09270859946720518,8,0,1,4,Cat 0
6,3.5191870455949843,12859.0,3653.968894917305,384,395,223854,109.11610977900654,2251.1142955745054,2249.1511278453954,0.20906236208857268,0.41712055374993534,0.14079535136754845,0.25565942240201883,11,2,9,4,Cat 2
7,3.4202168782934415,12926.0,3779.2925010210415,395,399,177545,115.48975227474172,1882.6547361132039,1890.8597938433409,0.15386115135075462,0.4323346499266473,0.1490924009376666,0.24509606740502282,13,1,7,4,Cat 1
8,3.679900055011388,13515.0,3672.6540933074816,785,798,1012641,213.321010969025,3654.505024756202,3655.0815753644983,0.4193130270525125,0.4193889085653384,0.27644670476576216,0.3717162134612043,12,2,11,4,Cat 2
9,12.728296667351458,15369.0,1207.4671420428188,320,330,200134,25.140834501509662,5099.085849065754,5092.747487877664,0.6357346355110051,0.12011894230638212,0.031478422765430475,0.2624440001942725,3,2,10,4,Cat 2
10,25.058807587939658,5463.0,218.00718094141243,152,159,315764,6.065731558318633,1962.2135288281202,1918.0765131777018,0.16578034728401614,0.0,0.0066469273088427885,0.057475758197619645,0,0,0,4,Cat 0
11,3.4110647492191584,9261.0,2714.9880406462457,1391,1400,984667,407.7905587451601,3819.8588626067735,3781.2344820290336,0.444085710553631,0.30312969864203126,0.5296023341969255,0.42560591446419593,9,3,13,4,Cat 3
12,2.809626109559019,21409.0,7619.875088418872,2161,2192,1593017,769.1414856403,7530.500920088356,7546.467843232305,1.0,0.8985755655519901,1.0,0.9661918551839965,18,4,19,4,Cat 4
13,3.2971306131067384,18171.0,5511.155647812897,491,501,220542,148.91736410082726,3389.7257132893837,3411.699836893569,0.3796447969958316,0.6425802157810498,0.1926076361453651,0.4049442163074155,15,3,12,4,Cat 3
14,12.067158562196363,16372.0,1356.7402728335499,128,134,100828,10.607302401825946,4762.248088548097,4724.074521585655,0.58527088250111,0.1382404745464393,0.012559031484751224,0.2453567961774335,4,2,8,4,Cat 2
15,11.44905084610743,13526.0,1181.4079771161742,373,379,198915,32.57911987759374,3179.1747073538436,3223.685462135807,0.34810084556002135,0.11695539910965512,0.04116139800656623,0.1687392142254142,2,1,4,4,Cat 1
16,9.608067965132348,13437.0,1398.5121721414582,948,963,403563,98.66707890080393,3383.5469951792234,3448.5711222468035,0.3787191249329675,0.1433115199249803,0.12719306237594696,0.21640790241129826,5,1,5,4,Cat 1
17,9.126945747012002,15424.0,1689.9410194313405,176,178,171861,19.28355935035762,1713.5911102321156,1755.1181114234018,0.12853268150726355,0.1786905410781578,0.023853567385253707,0.11035892999022501,6,0,3,4,Cat 0
18,7.974525543552561,14098.0,1767.8794710737739,945,956,570900,118.50234786244263,3210.11431426952,3228.454417638318,0.35273609987122584,0.1881521511930988,0.15301412308361362,0.2313007913826461,7,1,6,4,Cat 1
19,2.3056180184085027,14147.0,6135.881957482809,536,540,234122,232.4756294062901,3408.0410275103122,3417.442662651826,0.3823887277585915,0.7184210446155866,0.301381711518499,0.46739716129755904,16,3,15,4,Cat 3
